Question	Answer	Source
My ticket was purchased from a travel agent. Can I change my itinerary on singaporeair.com?	No, only tickets purchased on singaporeair.com or from a local Singapore Airlines office can be changed online and as long as you've purchased a fare that allows changes to your flights. To change the itinerary for a ticket you've purchased from your travel agent, get in touch with them directly.	https://www.singaporeair.com/en_UK/faq/
Am I eligible for online/mobile check-in?	Online/Mobile check-in is available to all passengers, except those who: * are below 18 years old, and not accompanied by an adult passenger (above 18 years old) * are travelling in a group of 10 passengers or more in the same booking * have one or more preceding flights in the same booking for which the passengers have not checked in.	https://www.singaporeair.com/en_UK/faq/
Why does Singapore Airlines charge a fee for bookings paid with credit cards?	When you use a credit card to pay for your flights out of certain countries, Singapore Airlines incurs costs relating to the acceptance of credit cards. You won't be charged a service fee if you choose to pay with debit cards or other non-credit card alternatives.	https://www.singaporeair.com/en_UK/faq/
Can I earn KrisFlyer miles on all Singapore Airlines or SilkAir flights?	You can earn KrisFlyer miles on most booking classes on Singapore Airlines and Silkair flights. However, the earning rates vary and some booking classes, such as G on Singapore Airlines and SilkAir, won't earn you miles.How to earn milesNoteEconomy Class:Earn 100% of the actual miles flown in B, E, H, L, M, W or Y booking class Earn 50% of the actual miles flown in N or Q booking classEarn 10% of the actual miles flown in V or K booking class Premium Economy Class:Earn 110% of the actual miles flown in P, S or T booking classBusiness Class:Earn 125% of the actual miles flown in C, D, J, U or Z booking classFirst Class:Earn 150% of the actual miles flown in A or F booking classSingapore Airlines Suites:Earn 150% of the actual miles flown in F booking class * Please check with your travel agent or the relevant airline before making a reservation. * If you are checking in online, log in using your KrisFlyer membership number and PIN.Before you make a booking, please check with your travel agent, [local Singapore Airlines office](https://www.singaporeair.com/en_UK/contact-us/) or the operating partner airline to find out the number of KrisFlyer miles you'll earn on your flight.	https://www.singaporeair.com/en_UK/faq/
Can I earn and redeem KrisFlyer miles on other partner airlines?	Yes, you can earn and redeem KrisFlyer miles on partner airlines. Please click on the respective links for more information: * [Mileage accural levels](http://www.singaporeair.com/saar5/pdf/ppsclub_krisflyer/charts/SQMI_AwardChart_23Mar.pdf) * [Award levels for Star Alliance carriers](http://www.singaporeair.com/en_UK/us/ppsclub-krisflyer/use-miles/redeem-miles/award-tickets-on-star-alliance-airlines/) * [Award levels for Partner airlines](http://www.singaporeair.com/en_UK/us/ppsclub-krisflyer/use-miles/redeem-miles/award-tickets-on-partner-airlines/)	https://www.singaporeair.com/en_UK/faq/
Who can be my redemption nominee?	Anyone at all. You can nominate up to five individuals (but not a corporation or legal entity) as your redemption nominees - which means that you can redeem your KrisFlyer miles for award tickets or flight upgrades for them, and/or pay for their tickets on Singapore Airlines and SilkAir with your KrisFlyer miles when you book online.Once you add someone, you can't change them for six months. And while adding someone is free, deleting them will cost you miles or money:Membership tierOnlineOfflineKrisFlyer3,000 KrisFlyer miles / US$305,500 KrisFlyer miles / US$55KrisFlyer Elite Silver1,500 KrisFlyer miles / US$154,000 KrisFlyer miles / US$40KrisFlyer Elite GoldFree2,500 KrisFlyer miles/ US$25PPS Club and Solitaire PPS ClubFreeFreeIf your redemption nominee is a child or an infant, he/she will still require the same number of KrisFlyer miles for redemption.	https://www.singaporeair.com/en_UK/faq/
How does mixing KrisFlyer miles and cash work?	When you book on singaporeair.com, you can use your KrisFlyer miles to pay for all or part of your fare (including the associated taxes and surcharges*) on flights operated by Singapore Airlines or SilkAir. You can also use your KrisFlyer miles to purchase your Preferred Seats on flights operated by Singapore Airlines. After using your miles, the remainder of your fare will have to be paid for using your credit/debit card. Unfortunately, no physical cash can be accepted.If you book your ticket or Preferred Seat through travel agents or Singapore Airlines ticket offices or call centres, you will not have the option to mix your KrisFlyer miles and cash for payment.*Please note that fuel and insurance surcharges will be removed as a separate component and folded into the base airfare of the ticket price for Singapore Airlines and SilkAir flights progressively from 28 March 2017. Find out more [here](/en_UK/sg/ppsclub-krisflyer/use-miles/redeem-miles/kf-change "Important Changes to Flight Redemption ").	https://www.singaporeair.com/en_UK/faq/
Is mixing KrisFlyer miles and cash the same as redeeming miles for award tickets and flight upgrades?	No. When you choose to mix KrisFlyer miles and cash, you're using your miles as you would a credit/debit card, Masterpass™ or PayPal. This means you have a choice of any available seat on any available flight operated by Singapore Airlines or SilkAir, when you book on [singaporeair.com](http://www.singaporeair.com/).	https://www.singaporeair.com/en_UK/faq/
Why must I present my credit/debit card for verification before departure?	When you use your credit/debit card on our website, our fraud detection tool uses several types of information in your booking - such as the time to departure, your point of departure and destinations. A sophisticated algorithm determines the risk level of your payment transaction. If the risk level of your booking is high, you may be required to verify your credit/debit card in person, as well as provide photo identification. This verification process protects you against credit/debit card fraud and ensures your security as you use your credit/debit card on our website.	https://www.singaporeair.com/en_UK/faq/
Can I book a flight on singaporeair.com in a different currency?	When you book a ticket online, the total cost will be quoted in the country of departure's currency. You can choose from a range of currencies when you pay with your credit card. The available currency options are presented on the payment page after you enter your card details. If the billing currency of your credit card is different from the currency charged for this booking, your bank will perform the relevant conversion at their prevailing exchange rate and may charge a conversion fee.	https://www.singaporeair.com/en_UK/faq/
