Question_id	Question	Answer	PageRank
1	My ticket was purchased from a travel agent. Can I change my itinerary on singaporeair.com?	No, only tickets purchased on singaporeair.com or from a local Singapore Airlines office can be changed online and as long as you’ve purchased a fare that allows changes to your flights. To change the itinerary for a ticket you’ve purchased from your travel agent, get in touch with them directly.	0
2	Am I eligible for online/mobile check-in?	Online/Mobile check-in is available to all passengers, except those who:	0
3	Why does Singapore Airlines charge a fee for bookings paid with credit cards?	When you use a credit card to pay for your flights out of certain countries, Singapore Airlines incurs costs relating to the acceptance of credit cards. You won’t be charged a service fee if you choose to pay with debit cards or other non-credit card alternatives.	0
4	Can I earn KrisFlyer miles on all Singapore Airlines or SilkAir flights?	You can earn KrisFlyer miles on most booking classes on Singapore Airlines and Silkair flights. However, the earning rates vary and some booking classes, such as G on Singapore Airlines and SilkAir, won’t earn you miles.Before you make a booking, please check with your travel agent, local Singapore Airlines office or the operating partner airline to find out the number of KrisFlyer miles you’ll earn on your flight.	0
5	Can I earn and redeem KrisFlyer miles on other partner airlines?	Yes, you can earn and redeem KrisFlyer miles on partner airlines. Please click on the respective links for more information:	0
6	Who can be my redemption nominee?	Anyone at all. You can nominate up to five individuals (but not a corporation or legal entity) as your redemption nominees – which means that you can redeem your KrisFlyer miles for award tickets or flight upgrades for them, and/or pay for their tickets on Singapore Airlines and SilkAir with your KrisFlyer miles when you book online.Once you add someone, you can’t change them for six months. And while adding someone is free, deleting them will cost you miles or money:If your redemption nominee is a child or an infant, he/she will still require the same number of KrisFlyer miles for redemption.	0
7	How does mixing KrisFlyer miles and cash work?	When you book on singaporeair.com, you can use your KrisFlyer miles to pay for all or part of your fare (including the associated taxes and surcharges*) on flights operated by Singapore Airlines or SilkAir. You can also use your KrisFlyer miles to purchase your advanced seat selections on flights operated by Singapore Airlines. After using your miles, the remainder of your fare will have to be paid for using your credit/debit card. Unfortunately, no physical cash can be accepted.If you book your ticket or advanced seat selections through travel agents or Singapore Airlines ticket offices or call centres, you will not have the option to mix your KrisFlyer miles and cash for payment.*Please note that fuel and insurance surcharges will be removed as a separate component and folded into the base airfare of the ticket price for Singapore Airlines and SilkAir flights progressively from 28 March 2017. Find out more here.	0
8	Is mixing KrisFlyer miles and cash the same as redeeming miles for award tickets and flight upgrades?	No. When you choose to mix KrisFlyer miles and cash, you’re using your miles as you would a credit/debit card, Masterpass™ or PayPal. This means you have a choice of any available seat on any available flight operated by Singapore Airlines or SilkAir, when you book on singaporeair.com.	0
9	Why must I present my credit/debit card for verification before departure?	When you use your credit/debit card on our website, our fraud detection tool uses several types of information in your booking – such as the time to departure, your point of departure and destinations. A sophisticated algorithm determines the risk level of your payment transaction. If the risk level of your booking is high, you may be required to verify your credit/debit card in person, as well as provide photo identification. This verification process protects you against credit/debit card fraud and ensures your security as you use your credit/debit card on our website.	0
10	Can I book a flight on singaporeair.com in a different currency?	When you book a ticket online, the total cost will be quoted in the country of departure’s currency. You can choose from a range of currencies when you pay with your credit card. The available currency options are presented on the payment page after you enter your card details. If the billing currency of your credit card is different from the currency charged for this booking, your bank will perform the relevant conversion at their prevailing exchange rate and may charge a conversion fee.	0
11	Do I have to pay to select my seats in advance?	Passengers in Suites, First Class, and Business Class will enjoy complimentary seat selection at all times. Passengers in Premium Economy Class will enjoy complimentary seat selection, and may pay a fee to select Extra Legroom Seats.The Economy Flexi fare allows passengers to have access to Standard and Forward Zone Seats for free in advance from time of booking. The Economy Standard fare allows passengers to select in advance Standard Seats for free and pay a small fee for Forward Zone Seats, while passengers who choose the Economy Lite fare can select Standard or Forward Zone Seats in advance for a small fee.If you are a PPS Club, KrisFlyer Elite Gold or KrisFlyer Elite Silver member, you can select seats from certain categories in advance for free, in accordance with your membership tier, regardless of the fare type you choose. For more details, please click here.	0
12	How do I book a Singapore Stopover Holiday?	You can book a Singapore Stopover Holiday as you book a flight on singaporeair.com or with your local Singapore Airlines or SilkAir office, as long as it’s at least 72 hours before your stop in Singapore.If you’ve already booked a flight on our website or through your local Singapore Airlines office, simply enter your Booking Reference in the ‘Manage Booking’ section of this website. You can add a Singapore Stopover Holiday to your booking there, as long as:Singapore Stopover Holiday packages can’t be purchased from the SIA Stopover Holiday counter.	0
13	Can a company participate in both the Corporate Travel Programme and HighFlyer?	No, a company can only participate in either the Corporate Travel Programme or HighFlyer, but not both.	0
14	Who is eligible for the Singapore Airlines HighFlyer?	Bona fide and registered companies (excluding travel agencies) that do not have a pre-existing corporate travel agreement with Singapore Airlines.	0
15	How many changes can I make to the list of Corporate Travellers?	i. When a HighFlyer account is newly created, it will be given 1 month to populate the initial list of Corporate Travellers and Assistant Corporate Travel Managers. The timer for the 5 changes per month will only start after the 1-month settle in period. ii. The 5 changes only apply to addition and deletion of Corporate Travellers from the list, excluding changes to details of registered Corporate Travellers.	0
16	What is the checked baggage allowance on Singapore Airlines flights?	Your checked baggage allowance is based on the weight or piece concept, depending on your final destination.Weight conceptFor flights to and from all destinations, except the USA.Piece conceptFor flights to and from the USA only.When you book a flight with us, your free baggage allowance will be indicated on your ticket. Click here for more information on your checked baggage allowance on our flights.	0
17	What is the cabin baggage allowance on Singapore Airlines flights?	When you fly with us, you can carry up to two bags into the cabin with you depending on your class of travel.In addition to the limitations stated here, you must also be able to stow your baggage securely in the overhead compartment or under the seat in front of you.Up to 7kg eachSum of length, width and height of each piece should not exceed 115cmClick here for more information on your cabin baggage allowance on our flights.	0
18	How can I check the status of my mishandled/lost baggage?	On the rare occasion that you arrive at your destination without your checked baggage, we’ll do everything we can to trace your baggage and have it delivered to you as soon as possible. For immediate assistance, get in touch with the local Singapore Airlines airport office.You can also check on the status of your baggage by entering your File Reference number in our Baggage Tracer system	0
19	What is the checked baggage allowance on codeshare flights?	Checked baggage allowances vary across different airlines and destinations. Please check with our respective codeshare partner airline for the checked baggage allowance for your flight.	0
20	What is the cabin baggage allowance on codeshare flights?	Cabin baggage allowances vary across different airlines and destinations. Please check with our respective codeshare partner airline for the cabin baggage allowance for your flight.	0
21	What types of booking alerts are available?	When you fly with us, you’ll receive any or all of these alerts via SMS and/or email.	0
22	What are booking alerts?	Booking alerts are automatic notifications on your itinerary, delivered to you via SMS and/or email. Alerts will be sent whenever you make changes to your booking (via email only), check in for your flight, and/or when there are updates to the status of your flight(s).	0
